Borough,zip,ViolationStatus,ViolationStatus
BRONX,1901.0,Open,10
BRONX,2009.0,Open,3
BRONX,2015.0,Open,7
BRONX,2015.0,Close,6
BRONX,2016.0,Close,9
BRONX,2016.0,Open,7
BRONX,10446.0,Open,1
BRONX,10451.0,Close,8838
BRONX,10451.0,Open,6686
BRONX,10452.0,Close,24338
BRONX,10452.0,Open,15367
BRONX,10453.0,Close,19996
BRONX,10453.0,Open,14587
BRONX,10454.0,Close,6279
BRONX,10454.0,Open,5814
BRONX,10455.0,Close,8620
BRONX,10455.0,Open,6035
BRONX,10456.0,Close,22869
BRONX,10456.0,Open,16762
BRONX,10457.0,Close,25444
BRONX,10457.0,Open,17343
BRONX,10458.0,Close,24582
BRONX,10458.0,Open,17351
BRONX,10459.0,Open,10841
BRONX,10459.0,Close,10803
BRONX,10460.0,Close,14565
BRONX,10460.0,Open,12342
BRONX,10461.0,Open,6089
BRONX,10461.0,Close,4582
BRONX,10462.0,Close,10009
BRONX,10462.0,Open,9406
BRONX,10463.0,Close,6757
BRONX,10463.0,Open,5306
BRONX,10464.0,Close,390
BRONX,10464.0,Open,259
BRONX,10465.0,Open,2071
BRONX,10465.0,Close,1392
BRONX,10466.0,Open,10869
BRONX,10466.0,Close,9117
BRONX,10467.0,Close,23484
BRONX,10467.0,Open,18955
BRONX,10468.0,Close,20637
BRONX,10468.0,Open,13314
BRONX,10469.0,Open,8228
BRONX,10469.0,Close,3960
BRONX,10470.0,Open,2525
BRONX,10470.0,Close,1987
BRONX,10471.0,Close,827
BRONX,10471.0,Open,690
BRONX,10472.0,Close,14676
BRONX,10472.0,Open,12875
BRONX,10473.0,Open,3947
BRONX,10473.0,Close,3775
BRONX,10474.0,Close,4850
BRONX,10474.0,Open,3524
BRONX,10475.0,Open,2177
BRONX,10475.0,Close,879
BRONX,11452.0,Close,23
BRONX,11452.0,Open,12
BROOKLYN,1901.0,Close,3
BROOKLYN,2008.0,Close,3
BROOKLYN,2008.0,Open,1
BROOKLYN,2015.0,Close,1
BROOKLYN,2016.0,Open,1
BROOKLYN,2018.0,Close,11
BROOKLYN,2018.0,Open,1
BROOKLYN,3366.0,Close,2
BROOKLYN,10023.0,Close,1
BROOKLYN,11201.0,Close,3238
BROOKLYN,11201.0,Open,3121
BROOKLYN,11203.0,Open,14995
BROOKLYN,11203.0,Close,14840
BROOKLYN,11204.0,Close,7315
BROOKLYN,11204.0,Open,7052
BROOKLYN,11205.0,Open,4665
BROOKLYN,11205.0,Close,4157
BROOKLYN,11206.0,Open,8589
BROOKLYN,11206.0,Close,8029
BROOKLYN,11207.0,Open,20242
BROOKLYN,11207.0,Close,12799
BROOKLYN,11208.0,Open,15848
BROOKLYN,11208.0,Close,10751
BROOKLYN,11209.0,Open,6591
BROOKLYN,11209.0,Close,5885
BROOKLYN,11210.0,Close,9636
BROOKLYN,11210.0,Open,8365
BROOKLYN,11211.0,Open,9866
BROOKLYN,11211.0,Close,8938
BROOKLYN,11212.0,Open,18389
BROOKLYN,11212.0,Close,16483
BROOKLYN,11213.0,Close,20036
BROOKLYN,11213.0,Open,16278
BROOKLYN,11214.0,Close,7704
BROOKLYN,11214.0,Open,6452
BROOKLYN,11215.0,Open,7985
BROOKLYN,11215.0,Close,7893
BROOKLYN,11216.0,Open,16121
BROOKLYN,11216.0,Close,13417
BROOKLYN,11217.0,Open,5109
BROOKLYN,11217.0,Close,4249
BROOKLYN,11218.0,Open,8051
BROOKLYN,11218.0,Close,7089
BROOKLYN,11219.0,Open,10098
BROOKLYN,11219.0,Close,7471
BROOKLYN,11220.0,Open,10875
BROOKLYN,11220.0,Close,9989
BROOKLYN,11221.0,Open,17430
BROOKLYN,11221.0,Close,13555
BROOKLYN,11222.0,Open,5770
BROOKLYN,11222.0,Close,5347
BROOKLYN,11223.0,Open,6546
BROOKLYN,11223.0,Close,5517
BROOKLYN,11224.0,Open,3320
BROOKLYN,11224.0,Close,3055
BROOKLYN,11225.0,Close,18223
BROOKLYN,11225.0,Open,10864
BROOKLYN,11226.0,Close,36672
BROOKLYN,11226.0,Open,24909
BROOKLYN,11228.0,Open,2380
BROOKLYN,11228.0,Close,2169
BROOKLYN,11229.0,Close,4683
BROOKLYN,11229.0,Open,3694
BROOKLYN,11230.0,Close,9824
BROOKLYN,11230.0,Open,8407
BROOKLYN,11231.0,Open,5571
BROOKLYN,11231.0,Close,4052
BROOKLYN,11232.0,Close,3531
BROOKLYN,11232.0,Open,3138
BROOKLYN,11233.0,Open,17186
BROOKLYN,11233.0,Close,13963
BROOKLYN,11234.0,Open,4016
BROOKLYN,11234.0,Close,1733
BROOKLYN,11235.0,Open,6421
BROOKLYN,11235.0,Close,5066
BROOKLYN,11236.0,Open,7662
BROOKLYN,11236.0,Close,3472
BROOKLYN,11237.0,Open,11021
BROOKLYN,11237.0,Close,9281
BROOKLYN,11238.0,Open,10227
BROOKLYN,11238.0,Close,8879
BROOKLYN,11239.0,Close,1060
BROOKLYN,11239.0,Open,440
BROOKLYN,11249.0,Open,2338
BROOKLYN,11249.0,Close,1946
BROOKLYN,11364.0,Open,1
BROOKLYN,12238.0,Open,2
BROOKLYN,112222.0,Close,2
BROOKLYN,112226.0,Open,13
BROOKLYN,112226.0,Close,3
MANHATTAN,2019.0,Close,3
MANHATTAN,10001.0,Open,1263
MANHATTAN,10001.0,Close,1229
MANHATTAN,10002.0,Close,4844
MANHATTAN,10002.0,Open,4028
MANHATTAN,10003.0,Close,4050
MANHATTAN,10003.0,Open,3698
MANHATTAN,10004.0,Close,48
MANHATTAN,10004.0,Open,46
MANHATTAN,10005.0,Open,111
MANHATTAN,10005.0,Close,43
MANHATTAN,10006.0,Close,133
MANHATTAN,10006.0,Open,77
MANHATTAN,10007.0,Close,218
MANHATTAN,10007.0,Open,165
MANHATTAN,10009.0,Close,4018
MANHATTAN,10009.0,Open,3903
MANHATTAN,10010.0,Close,1125
MANHATTAN,10010.0,Open,810
