zip,state,NAME,B01003_001E,B01003_001M,B01003_001MA,B01003_001EA
10924,New York,ZCTA5 10924,13508.0,462.0,,
11366,New York,ZCTA5 11366,14360.0,857.0,,
11364,New York,ZCTA5 11364,36215.0,1308.0,,
13803,New York,ZCTA5 13803,4243.0,329.0,,
11374,New York,ZCTA5 11374,43507.0,1626.0,,
06390,New York,ZCTA5 06390,125.0,106.0,,
10307,New York,ZCTA5 10307,14906.0,846.0,,
10002,New York,ZCTA5 10002,74479.0,1959.0,,
12494,New York,ZCTA5 12494,519.0,222.0,,
13661,New York,ZCTA5 13661,1521.0,211.0,,
14481,New York,ZCTA5 14481,1699.0,204.0,,
11937,New York,ZCTA5 11937,16137.0,678.0,,
13120,New York,ZCTA5 13120,2109.0,470.0,,
10567,New York,ZCTA5 10567,20518.0,741.0,,
13787,New York,ZCTA5 13787,3342.0,482.0,,
12496,New York,ZCTA5 12496,1456.0,205.0,,
13637,New York,ZCTA5 13637,4318.0,449.0,,
12827,New York,ZCTA5 12827,3622.0,383.0,,
12427,New York,ZCTA5 12427,600.0,321.0,,
14424,New York,ZCTA5 14424,27880.0,442.0,,
12989,New York,ZCTA5 12989,998.0,135.0,,
14754,New York,ZCTA5 14754,629.0,139.0,,
11516,New York,ZCTA5 11516,7372.0,347.0,,
14612,New York,ZCTA5 14612,34116.0,996.0,,
13164,New York,ZCTA5 13164,2797.0,399.0,,
13755,New York,ZCTA5 13755,1127.0,208.0,,
11021,New York,ZCTA5 11021,18245.0,438.0,,
13820,New York,ZCTA5 13820,22070.0,466.0,,
14126,New York,ZCTA5 14126,608.0,307.0,,
12861,New York,ZCTA5 12861,627.0,81.0,,
12194,New York,ZCTA5 12194,156.0,49.0,,
11715,New York,ZCTA5 11715,4583.0,416.0,,
13368,New York,ZCTA5 13368,1062.0,153.0,,
14203,New York,ZCTA5 14203,1733.0,262.0,,
12051,New York,ZCTA5 12051,6383.0,418.0,,
13118,New York,ZCTA5 13118,6159.0,251.0,,
12945,New York,ZCTA5 12945,492.0,181.0,,
14744,New York,ZCTA5 14744,2175.0,258.0,,
13074,New York,ZCTA5 13074,4050.0,390.0,,
14895,New York,ZCTA5 14895,9144.0,323.0,,
12183,New York,ZCTA5 12183,2592.0,22.0,,
12160,New York,ZCTA5 12160,962.0,241.0,,
14838,New York,ZCTA5 14838,1917.0,337.0,,
12979,New York,ZCTA5 12979,2356.0,307.0,,
13780,New York,ZCTA5 13780,929.0,217.0,,
12878,New York,ZCTA5 12878,624.0,104.0,,
13033,New York,ZCTA5 13033,3774.0,339.0,,
12304,New York,ZCTA5 12304,22230.0,1363.0,,
10541,New York,ZCTA5 10541,26321.0,897.0,,
12182,New York,ZCTA5 12182,14432.0,884.0,,
10030,New York,ZCTA5 10030,31060.0,1606.0,,
12063,New York,ZCTA5 12063,524.0,294.0,,
13502,New York,ZCTA5 13502,33314.0,1175.0,,
14061,New York,ZCTA5 14061,375.0,121.0,,
12153,New York,ZCTA5 12153,993.0,261.0,,
14009,New York,ZCTA5 14009,5491.0,261.0,,
14718,New York,ZCTA5 14718,2041.0,220.0,,
13134,New York,ZCTA5 13134,216.0,81.0,,
13406,New York,ZCTA5 13406,721.0,134.0,,
14818,New York,ZCTA5 14818,2176.0,353.0,,
13355,New York,ZCTA5 13355,941.0,297.0,,
12092,New York,ZCTA5 12092,752.0,169.0,,
10464,New York,ZCTA5 10464,4531.0,633.0,,
10065,New York,ZCTA5 10065,29530.0,1720.0,,
13040,New York,ZCTA5 13040,2337.0,202.0,,
14617,New York,ZCTA5 14617,22774.0,637.0,,
13167,New York,ZCTA5 13167,3067.0,346.0,,
13778,New York,ZCTA5 13778,5486.0,280.0,,
12567,New York,ZCTA5 12567,2633.0,189.0,,
12430,New York,ZCTA5 12430,1119.0,314.0,,
12161,New York,ZCTA5 12161,191.0,208.0,,
11210,New York,ZCTA5 11210,64665.0,1757.0,,
13601,New York,ZCTA5 13601,37548.0,580.0,,
10278,New York,ZCTA5 10278,0.0,12.0,,
12138,New York,ZCTA5 12138,3218.0,348.0,,
13622,New York,ZCTA5 13622,2410.0,294.0,,
12134,New York,ZCTA5 12134,4059.0,245.0,,
11949,New York,ZCTA5 11949,13760.0,1015.0,,
13809,New York,ZCTA5 13809,1531.0,252.0,,
10953,New York,ZCTA5 10953,109.0,125.0,,
13082,New York,ZCTA5 13082,4258.0,544.0,,
12083,New York,ZCTA5 12083,3939.0,366.0,,
12958,New York,ZCTA5 12958,1881.0,304.0,,
10583,New York,ZCTA5 10583,40851.0,817.0,,
12180,New York,ZCTA5 12180,53464.0,989.0,,
14069,New York,ZCTA5 14069,792.0,216.0,,
12483,New York,ZCTA5 12483,267.0,177.0,,
14466,New York,ZCTA5 14466,1576.0,438.0,,
12849,New York,ZCTA5 12849,297.0,188.0,,
10309,New York,ZCTA5 10309,34058.0,1672.0,,
10523,New York,ZCTA5 10523,9133.0,426.0,,
11042,New York,ZCTA5 11042,506.0,142.0,,
13489,New York,ZCTA5 13489,658.0,109.0,,
12116,New York,ZCTA5 12116,1712.0,274.0,,
11501,New York,ZCTA5 11501,19621.0,407.0,,
12792,New York,ZCTA5 12792,272.0,157.0,,
12862,New York,ZCTA5 12862,0.0,12.0,,
14807,New York,ZCTA5 14807,3138.0,274.0,,
13331,New York,ZCTA5 13331,133.0,90.0,,
