zip,ViolationStatus,ViolationStatus
1138.0,Close,1
1257.0,Open,7
1901.0,Open,10
1901.0,Close,3
1987.0,Open,1
2008.0,Close,3
2008.0,Open,1
2009.0,Open,3
2015.0,Close,7
2015.0,Open,7
2016.0,Close,9
2016.0,Open,8
2017.0,Close,1
2018.0,Close,11
2018.0,Open,1
2019.0,Close,3
3366.0,Close,2
10001.0,Open,1263
10001.0,Close,1229
10002.0,Close,4844
10002.0,Open,4028
10003.0,Close,4050
10003.0,Open,3698
10004.0,Close,48
10004.0,Open,46
10005.0,Open,111
10005.0,Close,43
10006.0,Close,133
10006.0,Open,77
10007.0,Close,218
10007.0,Open,165
10009.0,Close,4018
10009.0,Open,3903
10010.0,Close,1125
10010.0,Open,810
10011.0,Open,3355
10011.0,Close,2843
10012.0,Close,2181
10012.0,Open,2002
10013.0,Open,2325
10013.0,Close,1931
10014.0,Close,2667
10014.0,Open,2542
10016.0,Close,2321
10016.0,Open,1927
10017.0,Open,474
10017.0,Close,341
10018.0,Open,740
10018.0,Close,634
10019.0,Close,2802
10019.0,Open,2699
10021.0,Open,1728
10021.0,Close,1555
10022.0,Close,1452
10022.0,Open,1352
10023.0,Close,2101
10023.0,Open,1997
10024.0,Open,3774
10024.0,Close,3670
10025.0,Close,7213
10025.0,Open,5936
10026.0,Close,7413
10026.0,Open,6131
10027.0,Open,10047
10027.0,Close,10003
10028.0,Close,2152
10028.0,Open,2064
10029.0,Close,7404
10029.0,Open,7149
10030.0,Close,7490
10030.0,Open,7472
10031.0,Close,18536
10031.0,Open,13674
10032.0,Close,17032
10032.0,Open,11565
10033.0,Close,12395
10033.0,Open,7831
10034.0,Close,9349
10034.0,Open,5993
10035.0,Close,6646
10035.0,Open,6262
10036.0,Open,2648
10036.0,Close,2624
10037.0,Close,2262
10037.0,Open,2252
10038.0,Open,491
10038.0,Close,299
10039.0,Close,7032
10039.0,Open,5434
10040.0,Close,10062
10040.0,Open,5128
10044.0,Close,115
10044.0,Open,43
10065.0,Open,1424
10065.0,Close,1306
10069.0,Close,13
10069.0,Open,10
10075.0,Open,1164
10075.0,Close,1141
10128.0,Open,2442
10128.0,Close,2256
10280.0,Close,11
10280.0,Open,8
10282.0,Close,60
10282.0,Open,45
10301.0,Open,3071
10301.0,Close,2016
10302.0,Open,1537
10302.0,Close,722
10303.0,Open,1673
10303.0,Close,1543
10304.0,Open,4282
10304.0,Close,2225
10305.0,Open,1023
10305.0,Close,556
10306.0,Open,1111
10306.0,Close,551
10307.0,Open,146
10307.0,Close,67
10308.0,Open,265
10308.0,Close,95
10309.0,Open,295
10309.0,Close,116
10310.0,Open,1164
10310.0,Close,533
10312.0,Open,423
10312.0,Close,205
10314.0,Open,1524
10314.0,Close,686
10325.0,Open,1
10368.0,Close,3
10416.0,Close,2
10416.0,Open,1
10446.0,Open,1
10451.0,Close,8838
10451.0,Open,6686
10452.0,Close,24338
10452.0,Open,15367
10453.0,Close,19996
10453.0,Open,14587
10454.0,Close,6279
10454.0,Open,5814
10455.0,Close,8620
10455.0,Open,6035
10456.0,Close,22869
10456.0,Open,16762
10457.0,Close,25444
10457.0,Open,17343
10458.0,Close,24582
10458.0,Open,17351
10459.0,Open,10841
10459.0,Close,10803
10460.0,Close,14565
10460.0,Open,12342
10461.0,Open,6089
10461.0,Close,4582
10462.0,Close,10009
10462.0,Open,9406
10463.0,Close,9081
10463.0,Open,5915
10464.0,Close,390
10464.0,Open,259
10465.0,Open,2071
10465.0,Close,1392
10466.0,Open,10869
10466.0,Close,9117
10467.0,Close,23484
10467.0,Open,18955
10468.0,Close,20637
10468.0,Open,13314
10469.0,Open,8228
10469.0,Close,3960
10470.0,Open,2525
10470.0,Close,1987
10471.0,Close,827
10471.0,Open,690
10472.0,Close,14676
10472.0,Open,12875
